buy_order_id,sell_order_id,price,quantity,timestamp,aggressor_side,realized_pnl,net_position,avg_price
41,12,99.56,8,,SELL,0.00,-8,99.56
73,36,99.78,6,,SELL,0.00,-14,99.65
73,48,99.78,1,,SELL,0.00,-15,99.66
91,48,99.78,8,,SELL,0.00,-23,99.70
123,68,99.78,7,,SELL,0.00,-30,99.72
141,68,99.78,2,,SELL,0.00,-32,99.72
141,86,99.78,6,,SELL,0.00,-38,99.73
173,98,99.78,7,,SELL,0.00,-45,99.74
191,98,99.78,2,,SELL,0.00,-47,99.74
191,118,99.78,6,,SELL,0.00,-53,99.75
11,118,99.78,3,,SELL,0.00,-56,99.75
11,136,99.78,6,,SELL,0.00,-62,99.75
11,148,99.78,4,,SELL,0.00,-66,99.75
17,148,99.78,5,,SELL,0.00,-71,99.76
17,168,99.78,6,,SELL,0.00,-77,99.76
23,168,99.78,3,,SELL,0.00,-80,99.76
23,186,99.78,4,,SELL,0.00,-84,99.76
47,186,99.78,2,,SELL,0.00,-86,99.76
47,198,99.78,9,,SELL,0.00,-95,99.76
55,24,99.99,10,,SELL,0.00,-105,99.78
79,24,99.99,2,,SELL,0.00,-107,99.79
79,42,99.99,12,,SELL,0.00,-119,99.81
97,42,99.99,1,,SELL,0.00,-120,99.81
97,56,99.99,6,,SELL,0.00,-126,99.82
97,74,99.99,4,,SELL,0.00,-130,99.82
105,74,99.99,8,,SELL,0.00,-138,99.83
105,92,99.99,2,,SELL,0.00,-140,99.83
129,92,99.99,11,,SELL,0.00,-151,99.85
129,106,99.99,3,,SELL,0.00,-154,99.85
147,106,99.99,3,,SELL,0.00,-157,99.85
147,124,99.99,8,,SELL,0.00,-165,99.86
155,124,99.99,4,,SELL,0.00,-169,99.86
155,142,99.99,6,,SELL,0.00,-175,99.87
179,142,99.99,7,,SELL,0.00,-182,99.87
179,156,99.99,6,,SELL,0.00,-188,99.87
179,174,99.99,1,,SELL,0.00,-189,99.88
197,174,99.99,11,,SELL,0.00,-200,99.88
5,192,99.99,8,,SELL,0.00,-208,99.89
29,192,99.99,5,,SELL,0.00,-213,99.89
29,6,100.01,9,,SELL,0.00,-222,99.89
61,6,100.01,2,,SELL,0.00,-224,99.89
61,18,100.12,6,,SELL,0.00,-230,99.90
111,18,100.12,3,,SELL,0.00,-233,99.90
111,34,100.23,5,,SELL,0.00,-238,99.91
161,34,100.23,7,,SELL,0.00,-245,99.92
161,66,100.23,1,,SELL,0.00,-246,99.92
35,66,100.23,5,,SELL,0.00,-251,99.93
35,84,100.23,5,,SELL,0.00,-256,99.93
67,84,100.23,7,,SELL,0.00,-263,99.94
67,116,100.23,4,,SELL,0.00,-267,99.94
85,116,100.23,2,,SELL,0.00,-269,99.95
85,134,100.23,8,,SELL,0.00,-277,99.95
117,134,100.23,4,,SELL,0.00,-281,99.96
117,166,100.23,6,,SELL,0.00,-287,99.96
117,184,100.23,1,,SELL,0.00,-288,99.97
135,184,100.23,10,,SELL,0.00,-298,99.97
167,184,100.23,1,,SELL,0.00,-299,99.98
167,10,100.34,5,,SELL,0.00,-304,99.98
167,28,100.45,5,,SELL,0.00,-309,99.99
185,28,100.45,4,,SELL,0.00,-313,99.99
185,46,100.45,6,,SELL,0.00,-319,100.00
31,60,100.45,5,,SELL,0.00,-324,100.01
31,78,100.45,3,,SELL,0.00,-327,100.01
49,78,100.45,6,,SELL,0.00,-333,100.02
49,96,100.45,6,,SELL,0.00,-339,100.03
49,110,100.45,2,,SELL,0.00,-341,100.03
63,110,100.45,3,,SELL,0.00,-344,100.04
63,128,100.45,4,,SELL,0.00,-348,100.04
81,128,100.45,5,,SELL,0.00,-353,100.05
81,146,100.45,3,,SELL,0.00,-356,100.05
99,146,100.45,3,,SELL,0.00,-359,100.05
99,160,100.45,5,,SELL,0.00,-364,100.06
99,178,100.45,6,,SELL,0.00,-370,100.06
113,178,100.45,3,,SELL,0.00,-373,100.07
113,196,100.45,4,,SELL,0.00,-377,100.07
131,196,100.45,2,,SELL,0.00,-379,100.07
131,4,100.56,6,,SELL,0.00,-385,100.08
149,4,100.56,7,,SELL,0.00,-392,100.09
149,30,100.67,5,,SELL,0.00,-397,100.10
149,62,100.67,2,,SELL,0.00,-399,100.10
163,62,100.67,7,,SELL,0.00,-406,100.11
181,62,100.67,4,,SELL,0.00,-410,100.12
181,80,100.67,4,,SELL,0.00,-414,100.12
199,80,100.67,1,,SELL,0.00,-415,100.12
199,112,100.67,13,,SELL,0.00,-428,100.14
7,130,100.67,5,,SELL,0.00,-433,100.14
7,162,100.67,1,,SELL,0.00,-434,100.15

Trading Summary
Aggressor-Based P&L,43463.40
Realized P&L,0.00
Unrealized P&L,-227.38
Total P&L,-227.38
Final Position,-434
Average Price,100.15
Mark Price,100.67
